Character,Pinyin,Meaning
的,de,"(possessive particle), of / really and truly / aim, clear"
一,yī,"one / single / a(n)"
是,shì,"is, are, am, yes to be"
不,bù,"(negative prefix) no, not"
了,le,"(modal particle intensifying preceding clause), (past tense marker) / to know, to understand"
人,rén,"man, person, people"
我,wǒ,"I, me, myself"
在,zài,"(located) at, in, exist"
有,yǒu,"to have, there is, there are, to exist, to be"
他,tā,"he, him"
这,zhè,this / these
为,wèi,"act as, take…to be, to be, to do, to serve as, to become / because of, for, to"
之,zhī,"him, her, it"
大,dà,"big, huge, large, major, great, wide, deep, oldest, eldest / doctor"
来,lái,to come
以,yǐ,"to use, take, according to, because of, in order to"
个,gè,"(a measure word), individual"
中,zhōng,"within, among, in, middle, center, while (doing something), during"
上,shàng,"above, on, over, top, (go) up, last, previous"
们,men,(plural marker for pronouns and a few animate nouns)
到,dào,"to (a place), until (a time), up to, to go, to arrive"
说,shuō,"to speak, to say"
国,guó,"country, state, nation"
和,hé,"and, together, with, peace / harmony"
地,de,"earth, ground, field, place, land / -ly"
也,yě,"too, also, as well"
子,zǐ,"child, son"
时,shí,"time, when, hour, period, season"
道,dào,"direction, way, method, road, path, principle, truth, reason, skill, Tao (of Taoism), to say, to speak"
出,chū,"to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth"
而,ér,"and, as well as, but (not), yet (not), (shows causal relation), (shows change of state), (shows contrast)"
要,yào,"vital, to want, to be going to, must / demand, ask, request"
于,yú,"at, in, in regard to"
就,jiù,"at once, then, right away, only, just"
下,xià,"below, under, (go) down, next (as opposed to previous/last)"
得,de,"obtain, get, gain, to have to, must, ought to, to need to"
可,kě,"can, may, able to, certain(ly), (particle used for emphasis)"
你,nǐ,you
年,nián,year
生,shēng,"to be born, to give birth, life, to grow"
自,zì,"from, self, oneself, since"
会,huì,"can, able, meet, meeting, society, union, party"
那,nà,"that, those"
后,hòu,"back, behind, rear, afterwards, after, later"
能,néng,"can, may, capable, energy, able"
对,duì,"couple, pair, to be opposite, to oppose, to face, for, to, correct (answer), to answer, to reply, right"
着,zhe,verb particle marking a continuing progress/state
事,shì,"matter, thing, item, work, affair"
其,qí,"his, her, its, theirs, that, such, it (refers to something preceding it)"
里,lǐ,"within, inside"
所,suǒ,"actually, place"
去,qù,"to go, to leave, to depart"
行,xíng,"a row, profession, professional / all right, capable, competent, to go, to do, to travel, to walk"
过,guò,"(past tense marker), to cross, to go over, to pass (time), to live, to get along"
家,jiā,"home, family, a person engaged in a certain art or profession"
十,shí,ten
用,yòng,to use
发,fā,"to send out, to show (one's feeling), to issue, to develop / hair"
天,tiān,"day, sky, heaven"
如,rú,"as (if), such as"
然,rán,"correct, right, so, thus, like this, -ly"
作,zuò,"to regard as, to take (somebody) for, to do, to make"
方,fāng,"square, quadrilateral, direction, just"
成,chéng,"finish, complete, accomplish, become, turn into, win, succeed"
者,zhě,"-ist, -er (person), person (who does something)"
多,duō,"many, much, a lot of, numerous, multi-"
日,rì,"day, sun, date, day of the month"
都,dōu,"all, both (if two things are involved), entirely (due to) each, even, already"
三,sān,three
小,xiǎo,"small, tiny, few, young"
军,jūn,"army, military, arms"
二,èr,two
无,wú,"-less, not to have, no, none, not, to lack, un-"
同,tóng,"like, same, similar, together, alike, with"
么,me,(interrog. suff.)
经,jīng,"classics, sacred book, pass through, to undergo, scripture"
法,fǎ,"law, method, way, Buddhist teaching"
当,dāng,"to be, to act as, manage, withstand, when, during, ought, should / at or in the very same…, to pawn, suitable, adequate"
起,qǐ,"to rise, to raise, to get up"
与,yǔ,"(interrog. part.) / and, to give, together with / take part in"
好,hǎo,"good, well / be fond of"
看,kàn,"to look after, to take care of, to watch, to guard / to see, to look at"
学,xué,"learn, study, science, -ology"
进,jìn,"advance, enter, to come in"
种,zhǒng,"kind, type, race (of people), seed, type / to grow, to plant"
将,jiāng,"(will, shall, future tense), ready, prepared, to get, to use / a general"
还,hái,"also, in addition, more, still, else, yet, (not) yet / pay back, return"
分,fēn,"to divide, minute, (a measure word) / part"
此,cǐ,"this, these"
心,xīn,"heart, mind"
前,qián,"before, in front, ago, former, previous, earlier, front"
面,miàn,"face, side, surface, aspect, top, flour, noodles"
又,yòu,"(once) again, also, both… and…, again"
定,dìng,"to set, to fix, to determine, to decide, to order"
见,jiàn,"to see, to meet, to appear (to be something), to interview / appear"
只,zhǐ,"only, just, but, measure word for one of a pair"
主,zhǔ,"to own, to host, master, lord, primary"
没,méi,"(negative prefix for verbs), have not, not / sink, disappear"
公,gōng,"just, honorable (designation), public, common"
从,cóng,"from, since, obey, observe, follow"
